Status,Preferred_term,ORPHAcode,Definition,Date
Active,Lynch syndrome,144,"A rare form of hereditary nonpolyposis colon cancer (HNPCC) characterized by predisposition to a wide variety of cancers, including neoplasms of the digestive tract, urinary tract, endometrium, ovary, brain, and prostate, as well as sebaceous skin tumors. LS-associated tumors are typically characterized by the presence of microsatellite instability (MSI) and loss of expression of MMR proteins in tumor tissue.",2025-06-24 08:04:43
Active,Hereditary breast and/or ovarian cancer syndrome,145,"A genetic condition characterized by hereditary susceptibility to breast and/or ovarian cancer. It can be defined using family history criteria, or through identification of germline pathogenic variants (GPVs) in clinically validated HBOC genes. However, the genetic basis of about half of clinical HBOC is currently unknown or unexplained by single-gene variants, and approximately half of individuals who harbour PVs in HBOC genes do not have a suggestive family history.",2025-06-24 08:04:43
Active,Differentiated thyroid carcinoma,146,"A rare, slow-growing, epithelial thyroid carcinoma typically presenting as an asymptomatic thyroid mass and is classed as either papillary thyroid cancer (PTC), follicular thyroid cancer (FTC) or Hurthle cell thyroid cancer (HCTC).",2025-06-24 08:04:43
Active,Carbamoyl-phosphate synthetase 1 deficiency,147,"A rare, severe disorder of urea cycle metabolism typically characterized by either a neonatal-onset of severe hyperammonemia that occurs few days after birth and manifests with lethargy, vomiting, hypothermia, seizures, coma and death or a presentation outside the newborn period at any age with (sometimes) milder symptoms of hyperammonemia.",2025-06-24 08:04:43
Active,Multiple carboxylase deficiency,148,"A group of inborn errors of biotin metabolism characterized by reduced activities of biotin-dependent enzymes resulting in a wide spectrum of symptoms, including feeding difficulty, breathing difficulties, lethargy, seizures, skin rash, alopecia, and developmental delay. This group includes biotinidase deficiency and biotin holocarboxylase synthetase deficiency.",2025-06-24 08:04:43
Active,Nasopharyngeal carcinoma,150,Nasopharyngeal carcinoma (NPC) is a tumor arising from the epithelial cells that cover the surface and line the nasopharynx.,2025-06-24 08:04:43
Inactive: Obsolete,OBSOLETE: Familial renal cell carcinoma,151,None available,2025-06-24 08:04:43
Active,Familial isolated dilated cardiomyopathy,154,"A rare familial cardiomyopathy characterized by the dilation of left ventricle and progressively impairing of systolic ventricular function, in the absence of abnormal loading conditions or coronary artery disease sufficient to cause global systolic impairment. The disease may cause heart failure or arrhythmia. The disease is isolated when no additional atypical cardiac or extracardiac manifestations are present.",2025-06-24 08:04:43
Inactive: Non rare disease in Europe,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy,155,None available,2025-06-24 08:04:43
Active,Carnitine palmitoyl transferase 1A deficiency,156,"Carnitine palmitoyltransferase 1A (CPT-1A) deficiency is an inborn error of metabolism that affects mitochondrial oxidation of long chain fatty acids (LCFA) in the liver and kidneys, and is characterized by recurrent attacks of fasting-induced hypoketotic hypoglycemia and risk of liver failure.",2025-06-24 08:04:43
Active,Carnitine palmitoyltransferase II deficiency,157,"Carnitine palmitoyltransferase II (CPT II) deficiency is an inherited metabolic disorder that affects mitochondrial oxidation of long chain fatty acids (LCFA). Three forms of CPT II deficiency have been described: a myopathic form, a severe infantile form and a neonatal form.",2025-06-24 08:04:43
Active,Systemic primary carnitine deficiency,158,"A rare disorder of carnitine cycle and carnitine transport that is characterized classically by early childhood onset cardiomyopathy often with weakness and hypotonia, failure to thrive and recurrent hypoglycemic hypoketotic seizures and/or coma.",2025-06-24 08:04:43
Active,Carnitine-acylcarnitine translocase deficiency,159,"Carnitine-acylcarnitine translocase (CACT) deficiency is a life-threatening, inherited disorder of fatty acid oxidation which usually presents in the neonatal period with severe hypoketotic hypoglycemia, hyperammonemia, cardiomyopathy and/or arrhythmia, hepatic dysfunction, skeletal muscle weakness, and encephalopathy.",2025-06-24 08:04:43
Active,Castleman disease,160,"A rare lymphoid hemopathy characterized by involvement of lymph nodes in any part of the body, most frequently the mediastinum, abdomen, neck, or spleen, and occurring as unicentric, idiopathic multicentric, or KSHV/HHV8-associated multicentric Castleman disease. Depending on the type, patients are most commonly asymptomatic or typically present with systemic symptoms.",2025-06-24 08:04:43
Active,Congenital cataract-anterior segment dysgenesis syndrome,162,Cataract-glaucoma syndrome is characterised by the association of total bilateral congenital cataract with the secondary occurrence of glaucoma appearing at ages varying between 10 and 40 years.,2025-06-24 08:04:43
Active,Hereditary hyperferritinemia-cataract syndrome,163,A rare genetic disease characterized by the association of early onset cataract with persistently raised plasma ferritin concentrations in the absence of iron overload.,2025-06-24 08:04:43
Inactive: Non rare disease in Europe,NON RARE IN EUROPE: Cerebral cavernous malformations,164,None available,2025-06-24 08:04:43
Active,Neutral lipid storage disease,165,Neutral lipid storage disease (NLSD) refers to a group of diseases characterized by a deficit in the degradation of cytoplasmic triglycerides and their accumulation in cytoplasmic lipid vacuoles in most tissues of the body. The group is heterogeneous: currently cases of NLSD with icthyosis (NLSDI/Dorfman-Chanarin disease) and NLSD with myopathy (NLSDM/neutral lipid storage myopathy) can be distinguished.,2025-06-24 08:04:43
Active,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,166,None available,2025-06-24 08:04:43
Active,Chédiak-Higashi syndrome,167,"Chédiak-Higashi syndrome (CHS) is a rare severe genetic disorder generally characterized by partial oculocutaneous albinism (OCA), severe immunodeficiency, mild bleeding, neurological dysfunction and lymphoproliferative disorder. A classic, early-onset form and an attenuated, later-onset form (Atypical CHS) have been described.",2025-06-24 08:04:43
Active,Loose anagen syndrome,168,"Loose anagen syndrome is a rare benign hair disorder affecting predominantly blond females in childhood and characterized by the presence of hair that can be easily and painlessly pulled out. Most of the hair is in the anagen phase and lacks an external epithelial sheath. Hair grows back quickly and the condition improves spontaneously with aging. Loose anagen hair can be associated with other anomalies, such as coloboma.",2025-06-24 08:04:43
Active,Ringed hair disease,169,"A rare isolated, benign hair shaft abnormality, usually presenting after the age of 2 and affecting the hair of the scalp or, very rarely, beard, axillary, or pubic hair. Hair is characterized by a banded or speckled appearance due to alternating light bands (corresponding to air-filled cavities within the cortex of the affected hair shafts) and dark bands. The bands have a lifelong duration, may only be detectable under light microscopy, are more apparent in fair-colored hair or with age-related graying, and have no effect on hair growth or fragility in the vast majority of cases.",2025-06-24 08:04:43
Active,Woolly hair,170,A rare congenital skin disease defined as an abnormality of the structure of the scalp hair and characterized by extreme kinkiness of the hair.,2025-06-24 08:04:43
Active,Primary sclerosing cholangitis,171,"Primary sclerosing cholangitis (PSC) is a rare, slowly progressive liver disease characterized by inflammation and destruction of the intra- and/or extra-hepatic bile ducts that lead to cholestasis, liver fibrosis, liver cirrhosis and ultimately liver failure.",2025-06-24 08:04:43
Active,Progressive familial intrahepatic cholestasis,172,Progressive familial intrahepatic cholestasis (PFIC) refers to a heterogeneous group of autosomal recessive disorders of childhood that disrupt bile formation and present with cholestasis of hepatocellular origin.,2025-06-24 08:04:43
Active,Cholera,173,"Cholera is an infectious disease, caused by intestinal infection with <i>Vibrio cholerae</i>, characterized by massive watery diarrhea and severe dehydration that can lead to shock and death if left untreated.",2025-06-24 08:04:43
Active,"Metaphyseal chondrodysplasia, Schmid type",174,"Schmid metaphyseal chondrodysplasia is a rare disorder characterized by moderately short stature with short limbs, coxa vara, bowlegs and an abnormal gait.",2025-06-24 08:04:43
Active,Cartilage-hair hypoplasia,175,A rare chondrodysplasia characterized by disproportional small stature due to metaphyseal lesions associated with fine slow growing hair.,2025-06-24 08:04:43
Active,Non-rhizomelic chondrodysplasia punctata,176,"Non-rhizomelic chondrodysplasia punctata is a form of chondrodysplasia punctata, a group of diseases in which the common characteristic is bone calcifications near joints from birth. Non-rhizomelic chondrodysplasia punctata is not an entity in itself but covers several diseases with variable clinical findings and modes of transmission.",2025-06-24 08:04:43
Active,Rhizomelic chondrodysplasia punctata,177,"A rare, primary bone dysplasia characterized by rhizomelic limb shortening, punctate calcifications in cartilage with epiphyseal and metaphyseal abnormalities (chondrodysplasia punctata) and coronal cleft vertebrae associated with profound postnatal growth deficiency, early-onset cataracts, severe intellectual disability and seizures.",2025-06-24 08:04:43
Active,Chordoma,178,Chordomas are rare malignant tumors arising from embryonic remnants of the notochord in axial skeleton.,2025-06-24 08:04:43
Active,Birdshot chorioretinopathy,179,"Birdshot chorioretinopathy is a posterior uveitis characterized by multiple cream-colored, hypopigmented choroidal lesions in the fundus and a strong association with HLA-A29 and clinically presenting with blurred vision, floaters, photopsia, scotoma and nyctalopia.",2025-06-24 08:04:43
Active,Choroideremia,180,"Choroideremia (CHM) is an X-linked chorioretinal dystrophy characterized by progressive degeneration of the choroid, retinal pigment epithelium (RPE) and retina.",2025-06-24 08:04:43
Active,X-linked hypohidrotic ectodermal dysplasia,181,This disease is described under  Hypohidrotic ectodermal dysplasia,2025-06-24 08:04:43
Active,Chromomycosis,182,"Chromomycosis is a chronic cutaneous and subcutaneous fungal infection, found mainly in subtropical and tropical areas (in soil and plant debris and transmitted by traumatic inoculation), and characterized clinically by slow growing, verrucous nodules, squamous plaques, or chronic limited lesions which are most commonly found on the lower limbs and which are characterized histologically by the presence of muriform cells. It is caused by dematiaceous fungi, with the main etiological agents being <i>Fonsecaea pedrosoi</i>, <i>Phialophora verrucosa</i> and <i>Cladophialophora carrionii</i>. Rarely, it can be caused by <i>Rhinocladiella aquaspersa</i>.",2025-06-24 08:04:43
Active,Eosinophilic granulomatosis with polyangiitis,183,"A rare systemic vasculitis of small vessels characterized by asthma, blood and tissue eosinophilia and vasculitis manifestations.",2025-06-24 08:04:43
Active,Cherubism,184,"Cherubism is a rare, self-limiting, fibro-osseous, genetic disease of childhood and adolescence characterized by varying degrees of progressive bilateral enlargement of the mandible and/or maxilla, with clinical repercussions in severe cases.",2025-06-24 08:04:43
Active,Scimitar syndrome,185,Scimitar syndrome is characterized by a combination of cardiopulmonary anomalies including partial anomalous pulmonary venous return connection of the right lung to the inferior caval vein leading to the creation of a left-to-right shunt.,2025-06-24 08:04:43
Active,Primary biliary cholangitis,186,"A rare autoimmune cholestatic liver disease characterized by autoimmune mediated damage of small intrahepatic bile ducts leading to cholestasis, fibrosis, and potential cirrhosis.",2025-06-24 08:04:43
Active,Citrullinemia,187,"Citrullinemia is an autosomal recessively inherited disorder of urea cycle metabolism and ammonia detoxification characterized by elevated concentrations of serum citrulline and ammonia. The disease presents with a large range of manifestations including neonatal hyperammonemic encephalopathy with lethargy, seizures and coma; hepatic dysfunction in all age groups; episodes of hyperammonemia and neuropsychiatric symptoms in children or adults, or, can be asymptomatic in some cases (detected in newborn screening programs). Citrullinemia is divided into two main groups that are encoded by different genes: citrullinemia type I (comprised of acute neonatal citrullinemia type I and adult-onset citrullinemia type I) and citrin deficiency (comprised of adult-onset citrullinemia type II and neonatal intrahepatic cholestasis due to citrin deficiency).",2025-06-24 08:04:43
Active,Systemic capillary leak syndrome,188,"Systemic capillary leak syndrome (SCLS) is a severe systemic disease due to increased capillary permeability, characterized by episodes of hypotension, edema and hypovolemia.",2025-06-24 08:04:43
Active,Hidrotic ectodermal dysplasia,189,"Clouston syndrome (or hidrotic ectodermal dysplasia) is characterised by the clinical triad of nail dystrophy, alopecia, and palmoplantar hyperkeratosis.",2025-06-24 08:04:43
Active,Coats disease,190,"Coats disease (CD) is an idiopathic disorder characterized by retinal telangiectasia with deposition of intraretinal or subretinal exudates, potentially leading to retinal detachment and unilateral blindness. CD is classically an isolated and unilateral condition affecting otherwise healthy young children.",2025-06-24 08:04:43
Active,Cockayne syndrome,191,"Cockayne syndrome (CS) is a multisystem condition characterized by short stature, a characteristic facial appearance, premature aging, photosensitivity, progressive neurological dysfunction, and intellectual deficit.",2025-06-24 08:04:43
Active,Coffin-Lowry syndrome,192,"A rare X-linked syndromic intellectual disability characterized by global development delay, postnatal growth retardation leading to short stature, facial dysmorphism, short hands with tapering fingers and progressive skeletal abnormalities including kyphoscoliosis and <i>pectus carinatum/excavatum</i>. Intellectual disability ranges from mild to severe.",2025-06-24 08:04:43
Active,Cohen syndrome,193,"A rare developmental defect during embryogenesis characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity.",2025-06-24 08:04:43
Inactive: Obsolete,OBSOLETE: Ocular coloboma,194,None available,2025-06-24 08:04:43
Active,Cat-eye syndrome,195,"Cat eye syndrome (CES) is a rare chromosomal disorder with a highly variable clinical presentation. Most patients have multiple malformations affecting the eyes (iris coloboma), ears (preauricular pits and/or tags), anal region (anal atresia), heart and kidneys. Intellectual disability is usually mild or borderline normal.",2025-06-24 08:04:43
Active,Occipital horn syndrome,198,"A rare congenital disorder of copper metabolism that is principally characterized by bony exostoses (including the pathognomonic occipital horns), and connective tissue manifestations with cutis laxa and bladder diverticula. Central nervous system involvement is variable.",2025-06-24 08:04:43
Active,Cornelia de Lange syndrome,199,"A rare multiple congenital anomalies syndrome characterized by facial dysmorphism, hypertrichosis, mild to profound intellectual disability, intrauterine growth restriction (IUGR) and/or postnatal growth restriction, feeding difficulties, abnormalities of the hands and feet (ranging from severe reductional limb abnormalities, oligodactyly, to brachymetacarpia of the first metacarpus). Variable visceral malformations may be present.",2025-06-24 08:04:43
Active,Isolated corpus callosum agenesis,200,"A rare non-syndromic cerebral malformation characterized by congenital partial or complete absence of the corpus callosum. Patients are often asymptomatic but may also present with intellectual disability, visual impairment, delayed speech development, seizures, feeding difficulties, impaired hand-eye coordination, and behavioral abnormalities. Patients may have a normal intelligence quotient while exhibiting specific cognitive deficits, such as reduced interhemispheric transfer of sensorimotor information, reduced cognitive processing speed, and deficits in complex reasoning and novel problem-solving.",2025-06-24 08:04:43
Active,Cowden syndrome,201,"A genodermatosis characterized by the presence of multiple hamartomas in various tissues and an increased risk for malignancies of the breast, thyroid, endometrium, kidney and colorectum. When CS is accompanied by germline <i>PTEN</i> mutations, it belongs to the PTEN hamartoma tumor syndrome (PHTS) group.",2025-06-24 08:04:43
Inactive: Deprecated,Crandall syndrome,202,None available,2025-06-24 08:04:43
Active,Sporadic Creutzfeldt-Jakob disease,204,"A rare sporadic human prion disease characterized by rapidly progressive cognitive impairment in combination with variable neurologic signs and symptoms including myoclonus, visual or cerebellar problems, pyramidal or extrapyramidal features, or akinetic mutism. Brain imaging may show high signal intensity in caudate, putamen, and/or cortical regions, and a typical EEG pattern consisting of generalized periodic sharp wave complexes is observed in many cases. The disease is invariably fatal within less than two years. Neuropathologic examination reveals deposition of abnormal prion protein in brain tissue, as well as spongiform change and massive neuronal loss and gliosis.",2025-06-24 08:04:43
Active,Crigler-Najjar syndrome,205,A rare hereditary disorder of bilirubin metabolism characterized by unconjugated hyperbilirubinemia due to a either a complete (type 1) or partial and inducible (type 2) hepatic deficit of UDP-glucuronosyltransferase 1A1 activity. The disorder manifests with neonatal jaundice with a risk of developing bilirubin encephalopathy.,2025-06-24 08:04:43
Inactive: Non rare disease in Europe,NON RARE IN EUROPE: Crohn disease,206,None available,2025-06-24 08:04:43
Active,Crouzon syndrome,207,Crouzon disease is characterized by craniosynostosis and facial hypoplasia.,2025-06-24 08:04:43
Active,Cutis laxa,209,"Cutis laxa (CL) is an inherited or acquired connective tissue disorder characterized by wrinkled, redundant and sagging inelastic skin associated with skeletal and developmental anomalies and, in some cases, with severe systemic involvement. Several different forms of inherited CL have been described, differentiated on the basis of the mode of inheritance and differences in the extent of internal organ involvement, associated anomalies and disease severity.",2025-06-24 08:04:43
Active,Cyclosporiasis,210,"Cyclosporosis is a parasitic disease caused by <i>Cyclospora cayetanensis</i>, a recently discovered coccidia that was initially described in Peru and then in most intertropical zones. Infection occurs through ingestion of contaminated food or water and leads to abdominal pain, anorexia and diarrhoea, which may resolve spontaneously in immunocompetent individuals but may persist in a chronic form in immunocompromised subjects, leading to a decline in their general state of health.",2025-06-24 08:04:43
Active,Familial cylindromatosis,211,This disease is described under  Brooke-Spiegler syndrome,2025-06-24 08:04:43
Active,Cystathioninuria,212,A rare inborn error of metabolism characterized by abnormal accumulation of plasma cystathionine and subsequent increased urinary excretion due to cystathionine gamma-lyase deficiency. The condition is considered benign without pathological relevance. Mode of inheritance is autosomal recessive.,2025-06-24 08:04:43
Active,Cystinosis,213,"A rare lysosomal disease characterized by an accumulation of cystine inside the lysosomes, causing damage in different organs and tissues, particularly in the kidneys and eyes. Three clinical forms have been described: nephropathic infantile, nephropathic juvenile and ocular.",2025-06-24 08:04:43
Active,Cystinuria,214,A rare disorder of renal tubular amino acid transport characterized by recurrent formation of kidney cystine stones.,2025-06-24 08:04:43
Active,Congenital stationary night blindness,215,"Congenital stationary night blindness (CSNB) refers to a non-progressive group of retinal disorders characterized by night or dim light vision disturbance or delayed dark adaptation, poor visual acuity (ranging from 20/30 to 20/200), myopia (ranging from low (-0.25 diopters [D] to -4.75 D) to high (&#8805;-10.00 D)), nystagmus, strabismus, normal color vision and fundus abnormalities.",2025-06-24 08:04:43
Active,Neuronal ceroid lipofuscinosis,216,"Neuronal ceroid lipofuscinoses (NCLs) are a group of inherited progressive degenerative brain diseases characterized clinically by a decline of mental and other capacities, epilepsy, and vision loss through retinal degeneration, and histopathologically by intracellular accumulation of an autofluorescent material, ceroid lipofuscin, in the neuronal cells in the brain and in the retina.",2025-06-24 08:04:43
Active,Isolated Dandy-Walker malformation,217,"A rare non-syndromic central nervous system malformation characterized by the association of three signs: hydrocephalus, partial or complete absence of the cerebellar vermis, and posterior fossa cyst contiguous with the fourth ventricle, presenting early in life with hydrocephalus, bulging occiput and posterior fossa signs such as cranial nerve palsies, nystagmus and ataxia.",2025-06-24 08:04:43
Active,Darier disease,218,"A rare, genetic keratinization disorder which is classically characterized by keratotic papules, acral pits, and acral wart-like lesions that can be associated with a trigger, and may occur anywhere on the body (including mucosal surfaces). Extracutaneous manifestations may include, nail anomalies, blepharitis, dry eye, neuropsychiatric illness and, recurrent parotid gland obstruction and xerostomia.",2025-06-24 08:04:43
